year,player1,country1,firstServe1,ace1,double1,firstPointWon1,secPointWon1,fastServe1(km),break1,return1,total1,winner1,error1
2009,Rafael Nadal,ESP,64%,4,4,66%,48%,196,44%,40%,173,50,41
2010,Roger Federer,SUI,66%,11,2,72%,61%,209,33%,37%,116,46,42
2011,Novak Djokovic,SRB,67%,6,0,70%,60%,208,39%,51%,106,26,33
2012,Novak Djokovic,SRB,59%,9,2,68%,63%,202,35%,41%,193,57,69
2013,Novak Djokovic,SRB,63%,8,3,75%,66%,209,27%,33%,139,47,61
2014,Stanislas Wawrinka,SUI,55%,19,2,87%,51%,217,33%,44%,116,53,49
2015,Novak Djokovic,SRB,60%,8,1,59%,62%,205,56%,46%,136,53,40
2016,Novak Djokovic,SRB,66%,7,3,74%,53%,199,42%,44%,123,31,41
2017,Roger Federer,SUI,62%,20,3,76%,49%,207,30%,39%,150,73,57
2018,Roger Federer,SUI,60%,17,3,80%,58%,208,46%,38%,152,41,62
